0	0.027182	p1
0	0.024537	p1
0	0.217635	p1
1	0.287923	p1
2	0.345155	p1
3	0.404371	p1
3	0.42231	p1
4	0.398329	p1
5	0.380487	p1
9	0.30202	p1
11	0.239248	p1
13	0.235899	p1
18	0.206057	p1
23	0.235045	p1
24	0.204656	p1
0	0.0	p2
0	0.016334	p2
0	0.147433	p2
1	0.224746	p2
2	0.292174	p2
3	0.372796	p2
4	0.399779	p2
4	0.376079	p2
5	0.375498	p2
7	0.39111	p2
9	0.336698	p2
15	0.259221	p2
18	0.261788	p2
19	0.229443	p2
28	0.186662	p2
0	0.0	p3
0	0.140125	p3
1	0.14745	p3
2	0.214195	p3
2	0.345053	p3
3	0.38288	p3
3	0.333163	p3
4	0.379503	p3
10	0.34592	p3
11	0.290075	p3
12	0.240169	p3
15	0.221031	p3
16	0.231219	p3
19	0.221766	p3
30	0.17374	p3
0	0.0	p4
0	0.17481	p4
0	0.200375	p4
1	0.198197	p4
1	0.332627	p4
2	0.371942	p4
4	0.400527	p4
4	0.380096	p4
7	0.347636	p4
11	0.34056	p4
12	0.314072	p4
13	0.230703	p4
19	0.198265	p4
23	0.193014	p4
26	0.134482	p4
0	0.0	p5
0	0.032846	p5
0	0.067679	p5
1	0.17386	p5
1	0.17316	p5
3	0.246791	p5
3	0.279918	p5
4	0.295162	p5
6	0.219187	p5
11	0.199993	p5
15	0.169655	p5
16	0.158471	p5
22	0.209556	p5
27	0.149135	p5
30	0.088342	p5
0	0.0	p6
0	0.239618	p6
0	0.285115	p6
1	0.35519	p6
1	0.423972	p6
2	0.456688	p6
2	0.441532	p6
2	0.495628	p6
9	0.391678	p6
10	0.393107	p6
16	0.317407	p6
17	0.265798	p6
22	0.240846	p6
25	0.264512	p6
30	0.244005	p6
0	0.025618	p7
0	0.240784	p7
1	0.246617	p7
1	0.276659	p7
2	0.317747	p7
2	0.356746	p7
3	0.412179	p7
3	0.381801	p7
5	0.385595	p7
5	0.340191	p7
9	0.335	p7
11	0.256732	p7
11	0.296831	p7
13	0.264769	p7
27	0.141606	p7
0	0.0	p8
0	0.150483	p8
1	0.281872	p8
1	0.343337	p8
1	0.334622	p8
1	0.337587	p8
3	0.388992	p8
4	0.375269	p8
5	0.330644	p8
10	0.286949	p8
12	0.216147	p8
14	0.300632	p8
24	0.147532	p8
26	0.16666	p8
29	0.16588	p8
