Cluster_0_Weight,Cluster_1_Weight,Cluster_2_Weight,Cluster_3_Weight,Timepoint
0.29696,0.01072,0.53434,0.15798,0.0
0.1801067596916548,0.10765650732963068,0.45595851261127024,0.2562782203674443,1.0
0.10925188479600619,0.14019196214279084,0.4081923289397694,0.3423638241214336,2.0
0.06624843894765514,0.1405711236233493,0.37282027738285994,0.4203601600461356,3.0
0.040197664933753166,0.1263418761334026,0.3416944499321108,0.4917660090007335,4.0
0.024377597264312007,0.10709911093403005,0.31144520417720556,0.5570780876244523,5.0
0.014790435765956213,0.08751365947410161,0.2813458256411962,0.616350079118746,6.0
0.008974149752264413,0.06979037805095328,0.25160272250041016,0.6696327496963721,7.0
0.0054451918636183785,0.05470952868503896,0.22279558920654924,0.7170496902447935,8.0
0.0033047289179320314,0.042354084857937596,0.19549245307198795,0.7588487331521424,9.0
0.0020070196093955345,0.03248124056016556,0.17013599712619154,0.7953757427042474,10.0
